Review_Title, Review_Rating, Review Body
Very good watch.,5,Only thing I'd like improved is a minute by minute graph of Sp02xxxxx where it currently only gives you a nightly average.
support is lacking,3,I love my Sense until I charge it and have to do a hard reset to get the Heart Rate monitor to work. I have contacted support so many times I have lost count and everyone has suggestions and no solutions. There is a problem with the watch and seemingly no solution. I am most frustrated with support.
Wonderful Cover.,5,Excellent product! Protects my Fitbit screen well. Easy to apply.
Nice upgrade!,5,I just upgraded to the Sense from the Ionic because of the ECG feature and Alexa app. Pleased so far.
Versa vs Sense,5,Awesone device as compared to my Versa. While the new features are awesome they clearly draw on power requiring more frequent charging. I used to charge my versus once a week or so ... the Sense is basically every 2 or 3 days. But do not let you stop from buying this unit. It is an very good product.
Very slickxxxxx amazing battery life,5,I have to charge it like an hour or so a weekxxxxx that's it! App works greatxxxxx pairs with my iPhone very well
Great Fitbit,5,It keep sleep tracking accurate as well as calories burned. The battery life lasts about 4 maybe 5 days.
GPS,5,The gps tracking upgrade is great.
Poor service from Fit Bit.,1,dead on arrival. talked to fit bit support and returned to them for replacement. Cannot get confirmation as to when replacement will be sent. Poor communication with them. Should have returned to Amason. HELP!!!!
Ok with iPhone,4,Does not sync well with iPhone for “find my phone” app. Battery life is much shorter than less sophisticated versions. Lots of cool functionsxxxxx though.
Worth it,5,Love all the updates. A great update to the versa 2
Greatxxxxx but unsyncs every night.,4,Every morningxxxxx I have to turn the watch off and back on in order for my S10 to recognize itxxxxx even though it can be seen in my bluetooth connections. I don't think I lose any dataxxxxx but it is just annoying. Otherwisexxxxx it is a terrific watch. I showed it to my doctor and he is going to buy one for his wife.
Worth the price tag.,5,I really enjoy the premium app features. Helps me keep track of my physical stats. I upgraded from Versa 2 and love all the new additions from this watch.
Great product,5,This product is awesomexxxxx highly recommend!!
Great watch,5,In absolutely in love with this watch. It's perfect for me.
Try Apple Watch.,4,Does not allow to answer and talk cell phone. Battery life about 72 hours. Does not allow Google Pay. Health tracking a little hokie.
Great hardware unfinished product,3,Hardware wise great product but lot of missing functionality. No ability to store own music or take a call. Had a speaker but is not enabled. Lot of sleep data but I would take music and phone call feature any day. Hopefully fitbit will realize it and will fix these issues in next few months.
Differences since Charge 3.,4,The sleep tracking is less accurate than the Charge 3 & the SPO2 only works if you wear that clock face. Howeverxxxxx I do like the Breathing Ratexxxxx Heart arate Variability & Skin Temp.
great gift for girlfriend,5,Got this as a present for my very active girlfriendxxxxx so far it is everything she wanted it to be
Needs better clock faces,3,It seems to be behind in its tracking but I’ve only had it for 3 days
It just work,5,Don’t listen to all the negative reviewsxxxxx the Fitbit Sense works and it works very well.
Nice 👍🏾,4,I just got this less a week ago. Ask me in a month !
Too many bugs,2,Inconsistent. Doesn’t always track SP02. Can only use one clock face to track your SP02. Have to tap multiple times to wake the screen. Can’t easily slide from screen to screen; it gets stuck on a screen and you just have to wait. Does not accurately track treadmill steps or distance and there is no way to change it on the app.
Fitbit sense,5,I like the health apps on the the Fitbit sense and the accuracy of the data so far
Just a rough measurement of biometricsxxxxx not truly accurate,4,Does what I need it forxxxxx ekg reader is a little weak in readingxxxxx gets a lot of inconclusive results
Sense Love,5,Functionalityxxxxx comfort wearxxxxx great reports
Sensible,5,Comfortable with lots of capabilities
